[2022-12-24 10:04:17,271:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:04:17,505:INFO:mainLog:MainThread] Category processed successfully | Arabic: فساتين محجبات
[2022-12-24 10:04:17,505:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:04:17,521:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:04:18,506:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:04:18,511:INFO:mainLog:MainThread] Product created successfully with ID: 519756719 | SKU: 110943
[2022-12-24 10:04:21,461:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo130.jpg
[2022-12-24 10:04:24,235:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:27,168:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:29,788:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:32,526:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:35,065:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:37,845:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:40,708:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:40,862:INFO:mainLog:MainThread] Media request with index 137 has been added
[2022-12-24 10:04:40,862:INFO:mainLog:MainThread] Media request with index 138 has been added
[2022-12-24 10:04:40,871:INFO:mainLog:MainThread] Media request with index 139 has been added
[2022-12-24 10:04:40,875:INFO:mainLog:MainThread] Media request with index 140 has been added
[2022-12-24 10:04:40,881:INFO:mainLog:MainThread] Media request with index 141 has been added
[2022-12-24 10:04:40,885:INFO:mainLog:MainThread] Text request with index 142 has been added
[2022-12-24 10:04:41,510:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:04:41,739:INFO:mainLog:MainThread] Category processed successfully | Arabic: اطقم
[2022-12-24 10:04:41,739:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:04:41,753:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:04:42,731:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:04:42,731:INFO:mainLog:MainThread] Product created successfully with ID: 519756479 | SKU: 110944
[2022-12-24 10:04:45,141:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo143.jpg
[2022-12-24 10:04:47,688:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:50,048:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:52,288:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:54,695:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:54,712:INFO:mainLog:MainThread] Media request with index 147 has been added
[2022-12-24 10:04:54,717:INFO:mainLog:MainThread] Media request with index 148 has been added
[2022-12-24 10:04:54,721:INFO:mainLog:MainThread] Media request with index 149 has been added
[2022-12-24 10:04:54,727:INFO:mainLog:MainThread] Media request with index 150 has been added
[2022-12-24 10:04:54,731:INFO:mainLog:MainThread] Media request with index 151 has been added
[2022-12-24 10:04:54,735:INFO:mainLog:MainThread] Text request with index 152 has been added
[2022-12-24 10:04:55,442:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:04:55,702:INFO:mainLog:MainThread] Category processed successfully | Arabic: اطقم
[2022-12-24 10:04:55,702:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:04:55,719:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:04:56,592:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:04:56,592:WARNING:mainLog:MainThread] SKU_ALREADY_EXISTS: 110944 | Error Message: Field 'sku' must be unique. | Error code: SKU_ALREADY_EXISTS
[2022-12-24 10:04:56,603:INFO:mainLog:MainThread] Media list is cleared | Media List: () 
[2022-12-24 10:04:56,610:INFO:mainLog:MainThread] Media request with index 157 has been added
[2022-12-24 10:04:56,614:INFO:mainLog:MainThread] Media request with index 158 has been added
[2022-12-24 10:04:56,620:INFO:mainLog:MainThread] Media request with index 159 has been added
[2022-12-24 10:04:56,624:INFO:mainLog:MainThread] Media request with index 160 has been added
[2022-12-24 10:04:56,628:INFO:mainLog:MainThread] Media request with index 161 has been added
[2022-12-24 10:04:56,633:INFO:mainLog:MainThread] Media request with index 162 has been added
[2022-12-24 10:04:56,638:INFO:mainLog:MainThread] Text request with index 163 has been added
[2022-12-24 10:04:57,401:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:04:57,627:WARNING:mainLog:MainThread] Category قمصان وبلايز is not on the list
[2022-12-24 10:04:57,631:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:04:57,635:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:04:58,527:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:04:58,527:INFO:mainLog:MainThread] Product created successfully with ID: 519763280 | SKU: 110945
[2022-12-24 10:05:00,942:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo164.jpg
[2022-12-24 10:05:03,735:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:05:05,971:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:05:08,546:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:05:10,715:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:05:13,091:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:09:41,156:INFO:mainLog:MainThread] Media request with index 169 has been added
[2022-12-24 10:09:41,163:INFO:mainLog:MainThread] Media request with index 170 has been added
[2022-12-24 10:09:41,168:INFO:mainLog:MainThread] Media request with index 171 has been added
[2022-12-24 10:09:41,174:INFO:mainLog:MainThread] Media request with index 172 has been added
[2022-12-24 10:09:41,180:INFO:mainLog:MainThread] Media request with index 173 has been added
[2022-12-24 10:09:41,184:INFO:mainLog:MainThread] Text request with index 174 has been added
[2022-12-24 10:14:23,032:INFO:mainLog:MainThread] Scraper started
[2022-12-24 10:15:05,340:INFO:mainLog:Thread-7 (dump_categories)] Category dump is successfull
[2022-12-24 10:15:05,401:INFO:mainLog:MainThread] Media request with index 0 has been added
[2022-12-24 10:15:05,401:INFO:mainLog:MainThread] Media request with index 1 has been added
[2022-12-24 10:15:05,419:INFO:mainLog:MainThread] Media request with index 2 has been added
[2022-12-24 10:15:05,424:INFO:mainLog:MainThread] Media request with index 3 has been added
[2022-12-24 10:15:05,429:INFO:mainLog:MainThread] Text request with index 4 has been added
[2022-12-24 10:15:06,040:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:15:06,295:INFO:mainLog:MainThread] Category processed successfully | Arabic: فساتين محجبات
[2022-12-24 10:15:06,302:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:15:06,305:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:15:07,246:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:15:07,246:INFO:mainLog:MainThread] Product created successfully with ID: 519757982 | SKU: 110946
[2022-12-24 10:15:09,633:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo5.jpg
[2022-12-24 10:15:11,889:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:15:14,171:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:15:22,523:INFO:mainLog:MainThread] Media request with index 7 has been added
[2022-12-24 10:15:22,528:INFO:mainLog:MainThread] Media request with index 8 has been added
[2022-12-24 10:15:22,533:INFO:mainLog:MainThread] Media request with index 9 has been added
